N_listings,suburb,number_of_bedrooms,listing_type,ADR_median,ADR_mean,ADR_p25,ADR_p75,unavailability_median,unavailability_mean,unavailability_p25,unavailability_p75,rev_proxy_median,rev_proxy_mean,rev_proxy_p25,rev_proxy_p75,confianca_amostral
1,Ilhota,4.0,casa,946.0,946.0,946.0,946.0,0.4725274725274725,0.4725274725274725,0.4725274725274725,0.4725274725274725,40678.0,40678.0,40678.0,40678.0,muito_baixa
7,Meia Praia,0.0,apartamento,380.0,412.6857142857143,315.4,515.0,0.3076923076923077,0.3186813186813187,0.2087912087912088,0.4505494505494505,9262.400000000001,10664.342857142856,6749.0,12550.0,baixa
16,Meia Praia,1.0,apartamento,440.0,451.78125,382.875,510.75,0.36813186813186816,0.39148351648351654,0.23076923076923078,0.5219780219780219,14838.75,15383.21875,10699.5,19060.0,baixa
1,Meia Praia,1.0,casa,195.0,195.0,195.0,195.0,0.25274725274725274,0.25274725274725274,0.25274725274725274,0.25274725274725274,4485.0,4485.0,4485.0,4485.0,muito_baixa
3,Meia Praia,1.0,outros,170.0,190.0,160.0,210.0,0.0989010989010989,0.21978021978021978,0.06043956043956044,0.31868131868131866,1530.0,3126.6666666666665,1015.0,4440.0,muito_baixa
126,Meia Praia,2.0,apartamento,448.0,451.4645692857143,350.0,550.0,0.42857142857142855,0.4542996685853828,0.2857142857142857,0.6263736263736264,15925.0,17824.87650674603,10573.958295,22475.0,alta
1,Meia Praia,2.0,outros,100.0,100.0,100.0,100.0,0.3516483516483517,0.3516483516483517,0.3516483516483517,0.3516483516483517,3200.0000000000005,3200.0000000000005,3200.0000000000005,3200.0000000000005,muito_baixa
284,Meia Praia,3.0,apartamento,650.0,684.8007122359155,500.0,816.499975,0.4065934065934066,0.4329825104472992,0.25274725274725274,0.6071428571428571,20000.0,26064.976816602113,14365.75,32303.125,alta
43,Meia Praia,4.0,apartamento,899.0,1130.0348825581395,735.0,1537.0,0.4725274725274725,0.42576028622540246,0.2142857142857143,0.6208791208791209,31941.0,36821.391456976744,22599.5,49453.0,media
1,Meia Praia,4.0,casa,500.0,500.0,500.0,500.0,0.3516483516483517,0.3516483516483517,0.3516483516483517,0.3516483516483517,16000.0,16000.0,16000.0,16000.0,muito_baixa
1,Meia Praia,5.0,apartamento,900.0,900.0,900.0,900.0,0.8241758241758241,0.8241758241758241,0.8241758241758241,0.8241758241758241,67500.0,67500.0,67500.0,67500.0,muito_baixa
3,Missing/Unknown,Missing/Unknown,Missing/Unknown,786.6667,734.2222333333333,701.33335,793.33335,0.0989010989010989,0.10256410256410255,0.08241758241758242,0.12087912087912087,5544.0,6888.0000666666665,5132.000099999999,7972.0,muito_baixa
3,Morretes,1.0,apartamento,400.0,410.0,375.0,440.0,0.8681318681318682,0.717948717948718,0.6318681318681318,0.8791208791208791,27650.000000000004,25776.666666666668,22465.0,30025.0,muito_baixa
43,Morretes,2.0,apartamento,453.5,686.4282939534884,351.5,553.75,0.31868131868131866,0.3685152057245081,0.19780219780219782,0.5054945054945055,12649.999999999998,33200.5290627907,7978.75,18355.0,media
8,Morretes,2.0,casa,323.5,386.90625,298.8125,380.75,0.4560439560439561,0.41620879120879123,0.2857142857142857,0.5659340659340659,14407.5,16193.4375,9397.125,16527.75,baixa
9,Morretes,3.0,apartamento,650.0,725.0740722222222,550.0,1010.5,0.3956043956043956,0.4713064713064713,0.27472527472527475,0.6703296703296703,20000.0,30309.90735,19287.16615,27250.000000000004,baixa
1,Morretes,4.0,apartamento,590.0,590.0,590.0,590.0,0.5494505494505495,0.5494505494505495,0.5494505494505495,0.5494505494505495,29500.0,29500.0,29500.0,29500.0,muito_baixa
2,Morretes,4.0,casa,1100.0,1100.0,1050.0,1150.0,0.6483516483516484,0.6483516483516484,0.5164835164835164,0.7802197802197802,67300.0,67300.0,51150.0,83450.0,muito_baixa
2,Sertao do Trombudo,1.0,casa,380.0,380.0,375.0,385.0,0.12637362637362637,0.12637362637362637,0.10164835164835165,0.15109890109890112,4325.0,4325.0,3527.5,5122.500000000001,muito_baixa
1,Sertao do Trombudo,4.0,casa,1000.0,1000.0,1000.0,1000.0,0.5934065934065934,0.5934065934065934,0.5934065934065934,0.5934065934065934,54000.0,54000.0,54000.0,54000.0,muito_baixa
1,Sertaozinho,2.0,casa,500.0,500.0,500.0,500.0,0.054945054945054944,0.054945054945054944,0.054945054945054944,0.054945054945054944,2500.0,2500.0,2500.0,2500.0,muito_baixa
2,Sertaozinho,6.0,casa,2581.25,2581.25,2121.875,3040.625,0.11538461538461539,0.11538461538461539,0.09615384615384616,0.13461538461538464,23887.5,23887.5,23581.25,24193.75,muito_baixa
12,Tabuleiro dos Oliveiras,2.0,apartamento,399.5,455.375,380.0,553.25,0.4065934065934066,0.42216117216117216,0.239010989010989,0.6043956043956044,13612.499999999998,15469.833333333334,7177.75,22862.5,baixa
3,Tabuleiro dos Oliveiras,3.0,apartamento,640.0,613.3333333333334,585.0,655.0,0.14285714285714285,0.13919413919413917,0.10439560439560439,0.1758241758241758,6889.999999999999,7690.0,5455.0,9525.0,muito_baixa
1,Tabuleiro dos Oliveiras,4.0,casa,1700.0,1700.0,1700.0,1700.0,0.31868131868131866,0.31868131868131866,0.31868131868131866,0.31868131868131866,49300.0,49300.0,49300.0,49300.0,muito_baixa
1,Varzea,1.0,casa,450.0,450.0,450.0,450.0,0.9010989010989011,0.9010989010989011,0.9010989010989011,0.9010989010989011,36900.0,36900.0,36900.0,36900.0,muito_baixa
1,Varzea,3.0,casa,700.0,700.0,700.0,700.0,0.8021978021978022,0.8021978021978022,0.8021978021978022,0.8021978021978022,51100.0,51100.0,51100.0,51100.0,muito_baixa
1,Varzea,5.0,casa,1500.0,1500.0,1500.0,1500.0,0.02197802197802198,0.02197802197802198,0.02197802197802198,0.02197802197802198,3000.0000000000005,3000.0000000000005,3000.0000000000005,3000.0000000000005,muito_baixa
