airbnb_listing_id,listing_type,number_of_bedrooms,number_of_bathrooms,number_of_guests,number_of_beds,number_of_reviews,cleaning_fee,star_rating,suburb,star_rating_original,star_rating_clean,available_nights_H_30,available_nights_H_60,available_nights_H_91,mean_available_price_H_30,mean_available_price_H_60,mean_available_price_H_91,median_available_price_H_30,median_available_price_H_60,median_available_price_H_91,n_prices_observed_H_30,n_prices_observed_H_60,n_prices_observed_H_91,p25_price_H_30,p25_price_H_60,p25_price_H_91,p75_price_H_30,p75_price_H_60,p75_price_H_91,static_revenue_proxy_H_30,static_revenue_proxy_H_60,static_revenue_proxy_H_91,unavailability_rate_H_30,unavailability_rate_H_60,unavailability_rate_H_91,unavailable_nights_H_30,unavailable_nights_H_60,unavailable_nights_H_91,has_price_H_30,has_price_H_60,has_price_H_91,is_in_price_av_20jan,is_balanced_panel
20564012,apartamento,1,1.0,4,1,5,0.0,5.0,Centro,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
564507628435735448,apartamento,2,2.0,4,2,3,0.0,4.329999923706055,Meia Praia,4.329999923706055,4.329999923706055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
20329580,apartamento,2,2.0,8,2,6,0.0,4.670000076293945,Meia Praia,4.670000076293945,4.670000076293945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
680483739240925875,apartamento,3,2.0,6,3,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
31897704,apartamento,2,1.0,5,3,5,0.0,4.800000190734863,Meia Praia,4.800000190734863,4.800000190734863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1298043421274344956,apartamento,3,3.0,8,3,0,350.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
981207078966019606,apartamento,4,3.0,10,5,0,350.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
822704,apartamento,3,3.0,8,8,3,420.0,4.0,Centro,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
45973790,apartamento,2,2.0,4,3,12,380.0,4.829999923706055,Meia Praia,4.829999923706055,4.829999923706055,26.0,56.0,87.0,648.9551307692308,660.8392875,631.0593896551724,645.0,646.0,635.6667,26.0,56.0,87.0,632.1666749999999,630.0,610.0,664.6666749999999,666.9167,662.08335,2580.0,2584.0,2542.6668,0.13333333333333333,0.06666666666666667,0.04395604395604396,4.0,4.0,4.0,True,True,True,1,1
803572440296677315,casa,3,2.0,10,3,0,0.0,0.0,Centro,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
46725966,apartamento,3,2.0,9,5,5,0.0,4.199999809265137,Meia Praia,4.199999809265137,4.199999809265137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
22337474,apartamento,1,1.0,4,1,3,0.0,4.329999923706055,Centro,4.329999923706055,4.329999923706055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
54228706,apartamento,2,2.0,6,2,3,0.0,4.0,Meia Praia,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
39200531,apartamento,2,2.0,6,2,1,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
46559971,apartamento,4,3.0,8,5,2,0.0,4.5,Meia Praia,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
22495339,apartamento,3,2.0,7,5,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
53997426,apartamento,2,2.0,5,3,15,0.0,4.800000190734863,Meia Praia,4.800000190734863,4.800000190734863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
41315084,apartamento,3,3.0,6,3,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
549043584001550140,apartamento,3,2.0,6,3,10,0.0,5.0,Morretes,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1285464464711559089,apartamento,4,3.0,8,5,0,250.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1137721159040537759,apartamento,2,2.0,6,3,0,450.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
761755938032745270,apartamento,2,1.0,6,3,1,250.0,5.0,Alto Sao Bento,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1312562292467201207,outros,1,3.0,3,1,1,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1303827409239579310,apartamento,2,2.0,5,4,1,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1312455974923738904,apartamento,3,4.0,8,4,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1287791569613797023,apartamento,2,1.0,6,4,0,0.0,0.0,Centro,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
40899047,apartamento,2,2.0,6,5,57,230.0,4.960000038146973,Meia Praia,4.960000038146973,4.960000038146973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1318858709362899560,apartamento,1,1.0,2,1,1,250.0,5.0,Centro,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
15980108,apartamento,4,3.0,10,5,26,180.0,4.849999904632568,Meia Praia,4.849999904632568,4.849999904632568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1218884949697936191,apartamento,3,2.0,10,3,0,300.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
52416938,apartamento,3,3.0,8,6,1,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
857361220927905784,apartamento,4,3.0,10,4,1,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1006638831023535047,apartamento,4,3.0,10,5,5,0.0,4.599999904632568,Meia Praia,4.599999904632568,4.599999904632568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
870095737549163049,apartamento,3,3.0,7,3,1,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
46811251,apartamento,3,3.0,8,5,5,0.0,4.599999904632568,Meia Praia,4.599999904632568,4.599999904632568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1047224175824987718,casa,1,1.0,2,1,1,0.0,5.0,Morretes,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1044298410289154930,apartamento,3,3.0,8,4,0,250.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1290544635478660353,apartamento,3,3.0,8,3,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
22861662,casa,3,2.0,6,3,0,0.0,0.0,Centro,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
45749084,casa,4,2.0,16,10,6,0.0,5.0,Morretes,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
40486178,casa,3,2.0,8,3,21,250.0,4.570000171661377,Alto Sao Bento,4.570000171661377,4.570000171661377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1064782738514497988,apartamento,2,1.0,6,4,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1219627949874086286,apartamento,3,3.0,5,3,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
750120088858561250,casa,3,2.0,8,3,3,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
40759616,outros,3,3.0,10,8,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1046625655653490260,apartamento,2,2.0,4,3,2,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
801396664037385433,apartamento,2,2.0,6,3,4,250.0,5.0,Morretes,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
828140424202045550,outros,1,1.0,2,1,6,100.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1044445280351458950,apartamento,3,4.0,12,3,0,300.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
16454119,apartamento,2,2.0,6,3,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
29891621,apartamento,3,3.0,8,3,2,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
604252467686730216,apartamento,3,3.0,6,3,11,0.0,4.820000171661377,Meia Praia,4.820000171661377,4.820000171661377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1026884253092849014,apartamento,3,3.0,8,3,0,0.0,0.0,Centro,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1002366973577941952,apartamento,2,1.0,6,2,2,0.0,4.5,Morretes,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
39104516,apartamento,4,2.0,10,6,7,0.0,4.139999866485596,Meia Praia,4.139999866485596,4.139999866485596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
39548776,apartamento,3,1.0,8,4,6,0.0,4.0,Meia Praia,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
41396290,apartamento,2,2.0,4,1,3,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
47904218,apartamento,2,2.0,6,2,17,180.0,4.820000171661377,Morretes,4.820000171661377,4.820000171661377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
29078899,apartamento,2,2.0,5,5,1,0.0,4.0,Meia Praia,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
747114691595591344,apartamento,3,2.0,7,3,0,300.0,0.0,Morretes,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
22983456,casa,2,2.0,5,2,0,0.0,0.0,Morretes,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
21273318,apartamento,2,2.0,5,3,17,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
29649494,apartamento,3,2.0,7,5,1,0.0,5.0,Centro,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
28656277,apartamento,3,1.0,6,5,2,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1195820394794383581,apartamento,2,2.0,6,3,2,0.0,5.0,Tabuleiro dos Oliveiras,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
47866298,apartamento,2,2.0,4,2,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1308804641940706812,casa,2,1.0,4,2,0,0.0,0.0,Morretes,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
31740181,apartamento,2,1.0,5,2,5,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
28960945,apartamento,4,4.0,8,6,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
28771132,apartamento,4,2.0,9,6,1,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1303122595112715726,apartamento,3,3.0,6,3,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1165429298213741062,apartamento,2,1.0,4,2,3,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
751396284745576875,casa,3,2.0,4,3,2,0.0,5.0,Varzea,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
42807186,casa,3,3.0,8,4,50,0.0,4.920000076293945,Meia Praia,4.920000076293945,4.920000076293945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
15596961,apartamento,3,2.0,6,3,1,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
892939412471094403,apartamento,3,2.0,5,3,2,0.0,5.0,Morretes,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
11293115,apartamento,3,2.0,10,8,2,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
20255211,apartamento,3,3.0,10,4,1,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1265179422155119704,apartamento,3,3.0,8,3,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
39610907,casa,2,1.0,6,3,0,0.0,0.0,Varzea,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
732485216021311985,outros,2,1.0,2,3,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1039687876304007269,apartamento,2,2.0,7,3,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1321391695290036955,outros,1,1.0,6,3,2,0.0,5.0,Tabuleiro dos Oliveiras,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1023885231203292759,apartamento,1,1.0,4,1,11,200.0,5.0,Meia Praia,5.0,5.0,14.0,39.0,70.0,568.9285714285714,536.7948717948718,496.1619045714285,570.0,520.0,490.0,14.0,39.0,70.0,532.5,490.0,490.0,605.0,570.0,570.0,9120.0,10920.0,10290.0,0.5333333333333333,0.35,0.23076923076923078,16.0,21.0,21.0,True,True,True,1,1
790641967285368720,apartamento,2,1.0,5,2,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1257341245626158111,apartamento,3,3.0,8,3,0,370.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1057531933814586873,apartamento,3,2.0,7,4,0,0.0,0.0,Centro,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
46407747,apartamento,3,4.0,7,7,0,400.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
46415530,outros,1,1.0,2,1,0,300.0,0.0,Tabuleiro dos Oliveiras,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
20740151,apartamento,4,1.0,8,5,4,0.0,4.75,Meia Praia,4.75,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
828082707814771775,apartamento,3,3.0,8,3,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
39197229,apartamento,3,2.0,7,3,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
38060727,apartamento,3,3.0,8,4,83,0.0,4.949999809265137,Meia Praia,4.949999809265137,4.949999809265137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
41551599,apartamento,2,2.0,7,4,0,0.0,0.0,Morretes,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
39387989,apartamento,1,1.0,5,2,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
785469895044199706,casa,4,2.0,8,4,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
37687728,apartamento,3,2.0,6,4,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
699403988780642696,apartamento,3,2.0,8,3,7,300.0,4.429999828338623,Meia Praia,4.429999828338623,4.429999828338623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
8936081,apartamento,2,2.0,5,4,35,250.0,4.889999866485596,Meia Praia,4.889999866485596,4.889999866485596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
31465816,apartamento,2,1.0,5,2,1,350.0,4.0,Meia Praia,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
29055134,apartamento,3,3.0,10,4,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1050048929165275755,apartamento,2,2.0,6,2,2,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1305851005909610330,casa,3,3.0,10,3,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
805679801256003794,casa,3,3.0,8,3,0,0.0,0.0,Centro,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1318373666373260125,apartamento,3,3.0,8,3,0,400.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
787847078680683474,apartamento,2,2.0,6,2,6,300.0,5.0,Tabuleiro dos Oliveiras,5.0,5.0,3.0,21.0,52.0,640.0,371.9047619047619,322.88461538461536,640.0,330.0,330.0,3.0,21.0,52.0,640.0,330.0,260.0,640.0,330.0,330.0,17280.0,12870.0,12870.0,0.9,0.65,0.42857142857142855,27.0,39.0,39.0,True,True,True,1,1
1052976875586976373,apartamento,2,1.0,4,3,5,250.0,4.800000190734863,Meia Praia,4.800000190734863,4.800000190734863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
983224576066312557,apartamento,3,4.0,8,6,0,300.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1261754620394990554,apartamento,4,5.0,10,5,0,700.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1046398096008427810,apartamento,2,1.0,4,2,1,200.0,5.0,Casa Branca,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
22963968,apartamento,3,2.0,8,4,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
30254040,hotel,1,1.0,4,3,0,0.0,0.0,Centro,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1008887103856494871,apartamento,3,2.0,6,5,0,250.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
768032727158094436,apartamento,3,2.0,7,3,5,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
16762897,apartamento,2,1.0,4,3,1,0.0,5.0,Centro,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
949562813539842033,apartamento,3,2.0,8,3,11,0.0,4.909999847412109,Meia Praia,4.909999847412109,4.909999847412109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1309576728275300387,apartamento,2,3.0,6,6,0,0.0,0.0,Morretes,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1165930732976404813,outros,1,2.0,2,1,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
54121561,apartamento,3,2.0,6,3,13,0.0,4.849999904632568,Meia Praia,4.849999904632568,4.849999904632568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
41291609,apartamento,3,2.0,6,5,17,0.0,4.760000228881836,Morretes,4.760000228881836,4.760000228881836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1047986058535134333,casa,3,2.0,6,4,0,0.0,0.0,Ilhota,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
798418210975890259,apartamento,2,2.0,6,3,0,150.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
39587487,apartamento,2,1.0,5,3,5,0.0,5.0,Centro,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
42848487,apartamento,2,2.0,5,3,37,0.0,4.96999979019165,Meia Praia,4.96999979019165,4.96999979019165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
863210633926045285,apartamento,3,3.0,9,3,0,300.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
40749720,casa,3,2.0,15,3,1,0.0,5.0,Morretes,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1054353526536060455,outros,1,1.0,2,1,4,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
28739877,apartamento,4,4.0,10,5,1,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
790711871601179238,apartamento,4,4.0,10,5,3,0.0,4.670000076293945,Meia Praia,4.670000076293945,4.670000076293945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
52470280,apartamento,3,2.0,8,4,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
53592531,casa,2,1.0,6,4,2,0.0,5.0,Morretes,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1064568011899577251,outros,1,1.0,2,1,0,0.0,0.0,Morretes,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1035696928420988226,apartamento,3,2.0,9,3,1,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1305066140733755291,apartamento,4,4.0,10,4,1,350.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
47099466,apartamento,2,2.0,8,4,2,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
46688926,apartamento,2,2.0,6,6,2,0.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
37749402,apartamento,3,2.0,9,3,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
31041645,apartamento,3,4.0,6,3,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
46940475,outros,2,1.0,4,3,8,0.0,4.25,Centro,4.25,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
54064425,apartamento,3,3.0,6,3,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
52648380,casa,2,2.0,6,2,2,100.0,4.0,Morretes,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
37747080,apartamento,2,2.0,7,4,8,0.0,4.75,Meia Praia,4.75,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
551639377566480967,apartamento,2,2.0,5,3,4,0.0,5.0,Morretes,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
41493414,apartamento,3,4.0,8,5,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
